Time (s),Target Freq (Hz),Commanded Vel (raw),Measured Pos (raw),Measured Vel (raw),Measured Load (raw)
2.384185791015625e-07,0.5000000099341074,24,-330107,0,7
0.06397414207458496,0.5026655892531077,24,-330097,14,7
0.1279757022857666,0.5053323209285736,25,-330075,21,6
0.19197630882263184,0.5079990128676096,25,-330050,24,5
0.25597643852233887,0.5106656849384308,25,-330025,25,4
0.31998324394226074,0.5133326351642609,25,-330001,23,11
0.38398122787475586,0.5159992178281149,25,-329978,22,17
0.44797253608703613,0.5186655223369598,25,-329957,20,35
0.5119638442993164,0.5213318268458048,25,-329938,17,53
0.5759813785552979,0.5239992241064707,25,-329921,17,57
0.6399636268615723,0.5266651511192322,26,-329899,21,48
0.7039611339569092,0.5293317139148712,26,-329872,29,29
0.7679603099822998,0.5319983462492625,26,-329839,33,19
0.8319592475891113,0.5346649686495463,26,-329806,30,14
0.8961379528045654,0.5373390813668569,26,-329776,29,15
0.9599606990814209,0.5399983624617258,26,-329750,26,19
1.0239574909210205,0.5426648954550425,26,-329725,24,25
1.087968111038208,0.545332004626592,26,-329702,24,24
1.1519644260406494,0.5479985177516937,27,-329676,26,24
1.2159535884857178,0.5506647328535715,27,-329651,22,62
1.27996826171875,0.5533320109049479,27,-329636,14,102
1.3439626693725586,0.5559984445571899,27,-329627,7,142
1.407952070236206,0.5586646695931753,27,-329617,9,174
1.471954584121704,0.561331441005071,27,-329607,10,191
1.5359809398651123,0.563999205827713,27,-329591,18,208
1.5999500751495361,0.566664586464564,27,-329574,15,225
1.6639559268951416,0.5693314969539642,28,-329556,19,226
1.72794508934021,0.571997712055842,28,-329530,29,168
1.7919559478759766,0.574664831161499,28,-329475,68,-18
1.8559446334838867,0.577331026395162,28,-329384,78,-3
1.9199426174163818,0.5799976090590159,28,-329344,36,2
1.9839560985565186,0.582664837439855,28,-329312,31,3
2.047940254211426,0.5853308439254761,28,-329284,28,5
2.111938953399658,0.5879974563916525,29,-329257,28,5
2.175941228866577,0.5906642178694407,29,-329228,29,3
2.2399375438690186,0.5933307309945425,29,-329200,27,17
2.303940773010254,0.5959975322087606,29,-329176,23,33
2.367945671081543,0.598664402961731,29,-329157,20,41
2.4319348335266113,0.6013306180636088,29,-329131,26,25
2.495950937271118,0.6039979557196299,29,-329097,35,6
2.559931755065918,0.6066638231277466,29,-329060,36,0
2.6239328384399414,0.6093305349349976,30,-329027,32,1
2.6879446506500244,0.6119976937770844,30,-328997,30,2
2.751926898956299,0.6146636207898458,30,-328968,29,1
2.8159310817718506,0.6173304617404938,30,-328938,29,2
2.879927158355713,0.619996964931488,30,-328909,29,6
2.9439260959625244,0.6226635873317719,30,-328883,23,52
3.0079236030578613,0.6253301501274109,30,-328869,14,85
3.0719234943389893,0.6279968122641245,30,-328858,11,122
3.135923147201538,0.6306634644667307,31,-328844,14,137
3.1999332904815674,0.6333305537700653,31,-328825,18,187
3.263921022415161,0.6359967092672983,31,-328813,11,207
3.3279201984405518,0.6386633416016897,31,-328794,22,185
3.3919408321380615,0.6413308680057526,31,-328758,41,62
3.455915927886963,0.64399649699529,31,-328680,83,-12
3.519916534423828,0.6466631889343262,31,-328611,57,0
3.5839128494262695,0.6493297020594279,32,-328576,34,2
3.6479122638702393,0.6519963443279266,32,-328542,33,3
3.711912155151367,0.6546630064646404,32,-328510,31,3
3.775909662246704,0.6573295692602794,32,-328477,31,3
3.8399126529693604,0.65999636054039,32,-328445,31,17
3.9039227962493896,0.6626634498437246,32,-328420,23,32
3.9679133892059326,0.6653297245502472,32,-328394,26,46
4.031904935836792,0.6679960389931996,32,-328368,27,27
4.0959179401397705,0.6706632475058238,33,-328328,40,1
4.159908056259155,0.6733295023441315,33,-328285,40,0
4.223903656005859,0.6759959856669108,33,-328249,35,1
4.2879016399383545,0.6786625683307648,33,-328214,33,1
4.35190224647522,0.6813292602698008,33,-328181,33,1
4.415910243988037,0.6839962601661682,33,-328147,32,5
4.479915618896484,0.6866631507873535,33,-328118,25,52
4.543902397155762,0.6893292665481567,33,-328103,12,103
4.60791015625,0.6919962565104166,34,-328092,11,148
4.671895503997803,0.6946623126665752,34,-328078,14,180
4.735897541046143,0.697329064210256,34,-328063,14,223
4.799910068511963,0.699996252854665,34,-328048,17,237
4.863893747329712,0.7026622394720713,34,-328022,29,189
4.9278974533081055,0.7053290605545044,34,-327971,60,-6
4.991892099380493,0.7079955041408539,34,-327869,92,-8
5.0558905601501465,0.7106621066729227,34,-327815,47,0
5.119898080825806,0.7133290867010752,35,-327775,38,1
5.18388819694519,0.7159953415393829,35,-327739,35,2
5.2478883266448975,0.7186620136102041,35,-327703,35,4
5.311900854110718,0.7213292022546132,35,393228,34,10
5.375885486602783,0.7239952286084493,35,393257,25,37
5.439903736114502,0.7266626556714375,35,393285,32,29
5.503897190093994,0.7293290495872498,35,393320,36,3
5.567883014678955,0.7319951256116232,36,393364,42,0
5.6318817138671875,0.7346617380777994,36,393404,38,1
5.69588041305542,0.7373283505439758,36,393440,35,5
5.75987982749939,0.7399949928124745,36,393474,35,5
5.823878765106201,0.7426616152127584,36,393510,35,21
5.88787841796875,0.7453282674153645,36,393536,22,76
5.951880693435669,0.7479950288931528,36,393550,11,134
6.01589035987854,0.7506620983282726,36,393561,14,164
6.079872369766235,0.7533280154069265,37,393578,16,201
6.143927335739136,0.755996972322464,37,393597,20,217
6.207874298095703,0.7586614290873209,37,393623,27,222
6.271872282028198,0.7613280117511749,37,393660,46,44
6.335870981216431,0.7639946242173512,37,393756,100,-3
6.399871826171875,0.7666613260904949,37,393823,59,13
