Time (s),Target Freq (Hz),Commanded Vel (raw),Measured Pos (raw),Measured Vel (raw),Measured Load (raw)
0.015944480895996094,0.5,24,2847,1,7
0.06392073631286621,0.5,24,2855,12,8
0.11190223693847656,0.5,24,2868,16,29
0.15989065170288086,0.5,24,2879,13,50
0.2078855037689209,0.5,24,2887,11,80
0.2558774948120117,0.5,24,2895,9,104
0.3038511276245117,0.5,24,2901,8,131
0.35189127922058105,0.5,24,2907,8,147
0.39983701705932617,0.5,24,2914,11,167
0.4478163719177246,0.5,24,2923,11,190
0.4958071708679199,0.5,24,2932,12,185
0.5437924861907959,0.5,24,2945,18,197
0.5917792320251465,0.5,24,2958,15,237
0.6397671699523926,0.5,24,2964,7,249
0.6877670288085938,0.5,24,2973,12,256
0.7357416152954102,0.5,24,2985,19,205
0.7837638854980469,0.5,24,3012,40,91
0.8317224979400635,0.5,24,3064,72,-17
0.8797280788421631,0.5,24,3130,81,-21
0.9276986122131348,0.5,24,3170,49,0
0.975684404373169,0.5,24,3191,26,3
1.0236709117889404,0.5,24,3209,24,6
1.0716662406921387,0.5,24,3226,22,7
1.1196482181549072,0.5,24,3244,23,7
1.1676359176635742,0.5,24,3262,24,10
1.215627670288086,0.5,24,3279,22,25
1.2636198997497559,0.5,24,3292,16,45
1.3116137981414795,0.5,24,3304,14,71
1.3595895767211914,0.5,24,3313,11,84
1.4075796604156494,0.5,24,3323,13,102
1.455564260482788,0.5,24,3333,13,124
1.503556251525879,0.5,24,3342,12,130
1.5515408515930176,0.5,24,3353,16,131
1.599534034729004,0.5,24,3368,17,149
1.6475167274475098,0.5,24,3380,18,118
1.6955173015594482,0.5,24,3402,31,69
1.743494987487793,0.5,24,3437,45,11
1.7914927005767822,0.5,24,3479,55,-5
1.8394722938537598,0.5,24,3514,43,0
1.887472152709961,0.5,24,3536,27,2
1.9354462623596191,0.5,24,3555,23,5
1.9834482669830322,0.5,24,3573,24,6
2.0314245223999023,0.5,24,3591,23,5
2.079413652420044,0.5,24,3608,23,9
2.1273980140686035,0.5,24,3626,21,29
2.175384283065796,0.5,24,3638,15,50
2.2233755588531494,0.5,24,3647,12,83
2.2713623046875,0.5,24,3654,8,103
2.3193554878234863,0.5,24,3662,10,126
2.3673510551452637,0.5,24,3668,8,161
2.415343999862671,0.5,24,3674,6,190
2.4633166790008545,0.5,24,3679,6,202
2.5113182067871094,0.5,24,3688,10,205
2.5592942237854004,0.5,24,3699,16,222
2.6072824001312256,0.5,24,3710,14,273
2.6552674770355225,0.5,24,3716,7,259
2.703265428543091,0.5,24,3728,18,225
2.751243829727173,0.5,24,3753,32,197
2.799246072769165,0.5,24,3780,36,128
2.8472185134887695,0.5,24,3825,68,-21
2.895219087600708,0.5,24,3896,83,-18
2.9431960582733154,0.5,24,3935,48,1
2.9911997318267822,0.5,24,3954,27,3
3.0391733646392822,0.5,24,3974,25,4
3.087160587310791,0.5,24,3992,24,3
3.135150194168091,0.5,24,4011,24,3
3.1831445693969727,0.5,24,4029,23,8
3.2311248779296875,0.5,24,4045,20,30
3.279111862182617,0.5,24,4056,15,46
3.32710599899292,0.5,24,4068,14,71
3.3750946521759033,0.5,24,4077,12,88
3.4230921268463135,0.5,24,4086,12,109
3.4710798263549805,0.5,24,4095,11,130
3.519056797027588,0.5,24,4104,12,133
3.567040205001831,0.5,24,4117,16,142
3.6150295734405518,0.5,24,4130,17,129
3.6630160808563232,0.5,24,4148,25,105
3.7110137939453125,0.5,24,4172,32,72
3.7589950561523438,0.5,24,4201,43,0
3.8069984912872314,0.5,24,4248,60,-10
3.8549726009368896,0.5,24,4281,40,0
3.902968406677246,0.5,24,4300,24,4
3.9509470462799072,0.5,24,4317,23,4
3.998946189880371,0.5,24,4334,23,4
4.046923398971558,0.5,24,4352,24,4
4.094909191131592,0.5,24,4371,24,11
4.14289927482605,0.5,24,4387,19,38
4.190887451171875,0.5,24,4396,13,58
4.2388739585876465,0.5,24,4405,10,87
4.286863803863525,0.5,24,4412,9,116
4.334851980209351,0.5,24,4418,7,145
4.382838726043701,0.5,24,4423,6,159
4.430828809738159,0.5,24,4431,10,186
4.478825569152832,0.5,24,4437,9,204
4.5268189907073975,0.5,24,4445,11,207
4.5747971534729,0.5,24,4457,15,227
4.62277889251709,0.5,24,4466,12,261
4.670780420303345,0.5,24,4473,10,263
4.718756675720215,0.5,24,4484,16,259
4.7667436599731445,0.5,24,4500,22,247
4.814743280410767,0.5,24,4521,28,155
4.862718820571899,0.5,24,4562,61,-17
4.910725831985474,0.5,24,4638,97,-18
4.95869517326355,0.5,24,4684,58,0
5.006698131561279,0.5,24,4705,29,4
5.054670810699463,0.5,24,4724,26,4
5.102660417556763,0.5,24,4743,25,4
5.1506507396698,0.5,24,4761,24,7
5.198637008666992,0.5,24,4778,23,12
5.246625661849976,0.5,24,4794,20,30
5.294612646102905,0.5,24,4806,16,45
5.342599630355835,0.5,24,4817,14,72
5.390586614608765,0.5,24,4825,10,87
5.438578367233276,0.5,24,4835,13,101
5.486566781997681,0.5,24,4846,14,114
5.534559965133667,0.5,24,4857,15,118
5.582564830780029,0.5,24,4871,17,129
5.630549669265747,0.5,24,4884,18,123
